id,auteur,titre,date,genre,inspiration,structure,type,periode,taille,permalien
MOLIERE_GEORGEDANDIN_1669,MOLIÈRE,"GEORGE DANDIN ou LE MARI CONFONDU, COMÉDIE ",1669,Comédie,moeurs françaises,Trois actes,prose,1661-1670,(mesure non pertinente),http://gallica.bnf.fr/ark:/12148/btv1b8610793w
MOLIERE_TARTUFFE_1669,MOLIÈRE,"LE TARTUFFE ou L'IMPOSTEUR, COMÉDIE",1669,Comédie,moeurs françaises,Cinq actes,vers,1661-1670,1750-2000,"http://gallica.bnf.fr/ark:/12148/btv1b8610800k
				"
MOLIERE_AMANTSMAGNIFIQUES_1670,MOLIÈRE,"LES AMANTS MAGNIFIQUES, COMÉDIE.",1670,Comédie,moeurs françaises,Cinq actes,mixte,1661-1670,250-500,http://gallica.bnf.fr/ark:/12148/bpt6k832702
MOLIERE_COMTESSEESCARBAGNAS_1671,MOLIÈRE,"LA COMTESSE D'ESCARBAGNAS, COMÉDIE",1671,Comédie,moeurs françaises,Un acte,prose,1671-1680,(mesure non pertinente),
MOLIERE_FOURBERIESDESCAPIN_1671,MOLIÈRE,"LES FOURBERIES DE SCAPIN, COMÉDIE",1671,Comédie,moeurs françaises,Trois actes,prose,1671-1680,(mesure non pertinente),http://gallica.bnf.fr/ark:/12148/btv1b8610792g
MOLIERE_BOURGEOISGENTILHOMME_1671,MOLIÈRE,"LE BOURGEOIS GENTILHOMME, COMÉDIE-BALLET",1671,Comédie-ballet,moeurs françaises,Cinq actes,mixte,1661-1670,250-500,http://gallica.bnf.fr/ark:/12148/bpt6k83269v
MOLIERE_FEMMESSAVANTES_1672,MOLIÈRE,"LES FEMMES SAVANTES, COMÉDIE",1672,Comédie,moeurs françaises,Cinq actes,vers,1671-1680,1750-2000,http://gallica.bnf.fr/ark:/12148/btv1b8610790n
MOLIERE_DOMJUAN_1682,MOLIÈRE,"DON JUAN ou LE FESTIN DE PIERRE, COMÉDIE ",1682,Comédie,moeurs italiennes,Cinq actes,prose,1661-1670,(mesure non pertinente),
MOLIERE_IMPROMPTUVERSAILLES_1682,MOLIÈRE,"L'IMPROMPTU DE VERSAILLES, COMÉDIE",1682,Comédie,histoire littéraire,Un acte,prose,1661-1670,(mesure non pertinente),
MOLIERE_MEDECINVOLANT_1682,MOLIÈRE,"LE MÉDECIN VOLANT, COMÉDIE",1682,Farce,moeurs françaises,Un acte,prose,1651-1660,(mesure non pertinente),
